                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.3903,                 1.0015,                  1.277,                0.65473,                0.74912,                0.75868,                 0.4274,                 1.5937,                 1.1359,                 1.5062,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.3465,                0.95179,                 1.3083,                0.65473,                0.74912,                0.75868,                 0.4274,                 1.5937,                 1.1359,                 1.5062,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.3796,                0.99326,                  1.311,                0.74586,                0.83933,                0.78101,                0.38818,                 1.7824,                 1.4705,                 1.7253,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3916,                0.93698,                  1.213,                 0.7186,                0.70604,                 0.6971,                0.37096,                 1.7254,                 1.4074,                 1.6863,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.2889,                  0.882,                 1.1773,                0.76724,                 0.7619,                0.76853,                0.43446,                 1.5683,                 1.1816,                 1.5665,              0.0010729,              0.0010729,              0.0010729
                     38,                  1.334,                0.98376,                 1.2287,                0.76724,                 0.7619,                0.76853,                0.43446,                 1.5683,                 1.1816,                 1.5665,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.4297,                0.95357,                 1.2395,                0.91536,                0.70635,                0.78533,                0.44469,                 1.6645,                 1.2438,                 1.6278,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2617,                0.82839,                 1.2051,                0.64397,                0.63645,                0.63472,                0.37335,                 1.7898,                 1.3945,                 1.7047,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.4226,                0.93187,                 1.2441,                0.70197,                0.75397,                0.72675,                0.42275,                 1.7133,                 1.1475,                  1.635,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.3065,                0.82641,                 1.1566,                0.70197,                0.75397,                0.72675,                0.42275,                 1.7133,                 1.1475,                  1.635,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2655,                0.88985,                 1.1711,                0.72075,                0.67075,                0.70152,                0.38529,                  1.718,                 1.6209,                 1.6092,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.3233,                0.88425,                  1.209,                0.65645,                0.78571,                 0.6656,                0.37488,                 1.6472,                  1.756,                 1.5162,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.3209,                  0.846,                 1.1511,                0.62576,                0.72675,                0.64183,                0.39218,                 1.6541,                 1.3152,                 1.4957,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.1936,                0.88871,                 1.2129,                0.62576,                0.72675,                0.64183,                0.39218,                 1.6541,                 1.3152,                 1.4957,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2584,                0.95644,                 1.1814,                0.83535,                0.64683,                0.72667,                0.42761,                 1.6775,                 1.0796,                 1.5163,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2968,                0.94316,                 1.2467,                0.77993,                0.70238,                0.77271,                0.43484,                 1.6571,                 1.0117,                 1.5035,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2727,                0.85271,                 1.1585,                0.78542,                0.81202,                0.84102,                0.46043,                 1.5956,                 1.0788,                 1.4437,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2906,                0.87574,                 1.2051,                0.78542,                0.81202,                0.84102,                0.46043,                 1.5956,                 1.0788,                 1.4437,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2375,                0.79727,                 1.2121,                0.92557,                0.64238,                0.78378,                0.44474,                  1.536,                 1.2108,                 1.4026,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2556,                0.80946,                 1.1627,                0.89289,                0.58267,                0.73116,                0.41908,                 1.5969,                 1.3321,                 1.4347,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.3137,                 0.9436,                  1.169,                 0.7795,                0.69892,                0.75923,                0.45062,                  1.639,                 1.2989,                  1.459,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3267,                0.88794,                 1.2642,                 0.7795,                0.69892,                0.75923,                0.45062,                  1.639,                 1.2989,                  1.459,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.298,                0.79552,                 1.1398,                0.87224,                0.69836,                0.77998,                0.46644,                 1.5951,                 1.2263,                 1.4391,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1942,                0.76873,                 1.1611,                0.89959,                0.71429,                0.77848,                0.46804,                 1.5368,                 1.1803,                 1.4206,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.1762,                0.76027,                  1.118,                 0.9662,                 0.7072,                0.85291,                0.46909,                 1.5794,                 1.0983,                 1.4418,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2242,                0.75332,                 1.1523,                 0.9662,                 0.7072,                0.85291,                0.46909,                 1.5794,                 1.0983,                 1.4418,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1853,                0.69055,                 1.0721,                 0.8711,                0.68254,                0.76467,                0.42763,                 1.6652,                 1.1215,                 1.5039,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1717,                0.77622,                 1.1675,                0.81599,                0.73413,                0.79376,                0.41961,                 1.6597,                 1.1373,                 1.5105,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2443,                0.78909,                 1.1956,                0.87246,                0.75444,                0.81582,                0.44931,                 1.6208,                 1.0713,                 1.4822,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.2034,                0.78067,                 1.1898,                0.87246,                0.75444,                0.81582,                0.44931,                 1.6208,                 1.0713,                 1.4822,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1746,                0.76485,                 1.2011,                0.88794,                 0.7192,                0.80724,                0.47198,                 1.6094,                 1.0555,                 1.4864,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1096,                0.72239,                 1.1154,                0.87703,                0.88547,                 0.9032,                0.51821,                 1.5675,                0.95853,                 1.4549,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1275,                0.70584,                 1.1306,                0.82703,                0.89683,                0.91937,                0.51732,                 1.5747,                0.92698,                 1.4647,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0816,                0.70417,                 1.1184,                0.82703,                0.89683,                0.91937,                0.51732,                 1.5747,                0.92698,                 1.4647,             0.00059429,             0.00059429,             0.00059429
