epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,508.233,1.5419,1.65264,0.0051,0.69245,0.777,0.83214,0.45164,1.53527,1.84399,0.01317,0.000990365,0.000990365,0.000990365
43,519.645,1.44038,1.61644,0.0054,0.81873,0.74206,0.83559,0.43273,1.5126,1.90611,0.0127,0.000973861,0.000973861,0.000973861
44,530.817,1.40511,1.7743,0.00605,0.88314,0.74206,0.86208,0.45085,1.47383,1.88228,0.01155,0.000957358,0.000957358,0.000957358
45,542.411,1.40504,1.74441,0.00571,0.88314,0.74206,0.86208,0.45085,1.47383,1.88228,0.01155,0.000940855,0.000940855,0.000940855
46,554.08,1.52583,1.68302,0.00524,0.74739,0.77342,0.87376,0.48149,1.44497,1.80539,0.01062,0.000924352,0.000924352,0.000924352
47,565.43,1.5095,1.63721,0.00524,0.81323,0.78571,0.86741,0.50091,1.35736,1.83699,0.00942,0.000907848,0.000907848,0.000907848
48,577.896,1.41029,1.52465,0.00483,0.77487,0.80829,0.86219,0.50148,1.37823,1.73594,0.00946,0.000891345,0.000891345,0.000891345
49,591.019,1.44429,1.60476,0.00461,0.77487,0.80829,0.86219,0.50148,1.37823,1.73594,0.00946,0.000874842,0.000874842,0.000874842
50,602.341,1.3117,1.43405,0.00478,0.7399,0.78175,0.85272,0.50253,1.32336,1.77133,0.00901,0.000858338,0.000858338,0.000858338
51,614.683,1.30197,1.61898,0.00575,0.70511,0.79416,0.84964,0.50631,1.30995,1.74271,0.0089,0.000841835,0.000841835,0.000841835
52,625.865,1.23774,1.42689,0.00495,0.69788,0.78175,0.84912,0.51283,1.30865,1.71947,0.0089,0.000825332,0.000825332,0.000825332
53,637.392,1.40696,1.91236,0.00545,0.69788,0.78175,0.84912,0.51283,1.30865,1.71947,0.0089,0.000808828,0.000808828,0.000808828
54,649.18,1.40023,1.52647,0.00491,0.72846,0.78175,0.87384,0.53124,1.28183,1.70799,0.00855,0.000792325,0.000792325,0.000792325
55,660.431,1.30246,1.55295,0.00555,0.71706,0.84508,0.8834,0.52884,1.36644,1.62587,0.00975,0.000775822,0.000775822,0.000775822
56,672.214,1.31756,1.49272,0.00527,0.94817,0.71687,0.8806,0.52152,1.4388,1.54413,0.01061,0.000759318,0.000759318,0.000759318
57,683.972,1.32334,1.48955,0.00517,0.94817,0.71687,0.8806,0.52152,1.4388,1.54413,0.01061,0.000742815,0.000742815,0.000742815
58,696.207,1.25755,1.31519,0.00422,0.88408,0.78571,0.90698,0.52435,1.44135,1.47214,0.01065,0.000726312,0.000726312,0.000726312
59,711.764,1.33728,1.41706,0.00489,0.90089,0.84127,0.91585,0.5176,1.46834,1.45913,0.01071,0.000709809,0.000709809,0.000709809
60,727.051,1.35238,1.4335,0.00514,0.9417,0.849,0.92223,0.52555,1.46977,1.47056,0.01102,0.000693305,0.000693305,0.000693305
61,739.509,1.35343,1.46038,0.00501,0.9417,0.849,0.92223,0.52555,1.46977,1.47056,0.01102,0.000676802,0.000676802,0.000676802
62,753.083,1.36718,1.44541,0.00533,0.89933,0.84127,0.92018,0.53745,1.48989,1.39076,0.01109,0.000660299,0.000660299,0.000660299
63,766.494,1.35959,1.37524,0.00498,0.79084,0.86508,0.91118,0.53373,1.45675,1.40564,0.01076,0.000643795,0.000643795,0.000643795
64,782.165,1.38704,1.41632,0.00545,0.75681,0.84243,0.88487,0.53636,1.43561,1.4341,0.01038,0.000627292,0.000627292,0.000627292
65,794.715,1.43001,1.32083,0.0044,0.75681,0.84243,0.88487,0.53636,1.43561,1.4341,0.01038,0.000610789,0.000610789,0.000610789
66,806.045,1.27522,1.22709,0.00413,0.84568,0.78175,0.90568,0.54029,1.42793,1.42609,0.01025,0.000594286,0.000594286,0.000594286
67,817.728,1.24567,1.3217,0.00424,0.83948,0.75388,0.89939,0.53233,1.42831,1.41238,0.01026,0.000577782,0.000577782,0.000577782
68,829.355,1.19442,1.3175,0.00461,0.73379,0.80786,0.90106,0.54858,1.43548,1.40577,0.01036,0.000561279,0.000561279,0.000561279
69,841.187,1.31879,1.30883,0.00416,0.73379,0.80786,0.90106,0.54858,1.43548,1.40577,0.01036,0.000544776,0.000544776,0.000544776
70,852.378,1.2033,1.44904,0.00488,0.86179,0.71975,0.90231,0.54563,1.43394,1.42282,0.01046,0.000528272,0.000528272,0.000528272
71,864.344,1.14445,1.19358,0.00436,0.8585,0.73514,0.9047,0.54646,1.37675,1.46923,0.0099,0.000511769,0.000511769,0.000511769
72,876.781,1.20488,1.28622,0.00428,0.86067,0.74071,0.89993,0.55048,1.33817,1.49304,0.00898,0.000495266,0.000495266,0.000495266
73,887.905,1.18606,1.31277,0.00432,0.86067,0.74071,0.89993,0.55048,1.33817,1.49304,0.00898,0.000478762,0.000478762,0.000478762
74,898.838,1.2403,1.34224,0.0048,0.86925,0.7414,0.89933,0.54957,1.34633,1.48916,0.0094,0.000462259,0.000462259,0.000462259
75,910.72,1.2928,1.2353,0.00381,0.87755,0.75125,0.90639,0.55062,1.40045,1.39334,0.00996,0.000445756,0.000445756,0.000445756
76,924.542,1.28142,1.18361,0.00394,0.86964,0.73427,0.90551,0.54889,1.37106,1.43311,0.00958,0.000429253,0.000429253,0.000429253
77,939.716,1.25366,1.21847,0.00421,0.86964,0.73427,0.90551,0.54889,1.37106,1.43311,0.00958,0.000412749,0.000412749,0.000412749
78,953.028,1.28589,1.23021,0.00376,0.81072,0.79771,0.90472,0.55255,1.36547,1.45931,0.00919,0.000396246,0.000396246,0.000396246
79,966.071,1.15089,1.12391,0.00387,0.79818,0.80581,0.90205,0.53728,1.4049,1.40218,0.00971,0.000379743,0.000379743,0.000379743
80,981.924,1.20343,1.16851,0.004,0.79924,0.81121,0.89958,0.5457,1.41198,1.38992,0.00971,0.000363239,0.000363239,0.000363239
81,998.277,1.23469,1.18133,0.00409,0.79924,0.81121,0.89958,0.5457,1.41198,1.38992,0.00971,0.000346736,0.000346736,0.000346736
82,1011.65,1.14614,1.20371,0.00433,0.80063,0.82678,0.89395,0.54402,1.4023,1.39259,0.00963,0.000330233,0.000330233,0.000330233
83,1024.16,1.15764,1.14091,0.00371,0.78689,0.79991,0.87237,0.54942,1.38528,1.39233,0.00945,0.000313729,0.000313729,0.000313729
84,1036.82,1.31202,1.2172,0.00388,0.83141,0.78122,0.8726,0.54952,1.38097,1.39706,0.00945,0.000297226,0.000297226,0.000297226
85,1050.33,1.15902,1.20032,0.00421,0.83141,0.78122,0.8726,0.54952,1.38097,1.39706,0.00945,0.000280723,0.000280723,0.000280723
86,1062.77,1.21121,1.21462,0.00436,0.83165,0.77631,0.87695,0.55296,1.36666,1.40307,0.00946,0.00026422,0.00026422,0.00026422
87,1075.59,1.26571,1.18082,0.00383,0.82405,0.7786,0.88183,0.55012,1.36216,1.39684,0.00951,0.000247716,0.000247716,0.000247716
88,1088.58,1.16466,1.26776,0.00439,0.81563,0.78709,0.88521,0.54888,1.36212,1.39244,0.00956,0.000231213,0.000231213,0.000231213
89,1100.84,1.19765,1.04814,0.00415,0.81563,0.78709,0.88521,0.54888,1.36212,1.39244,0.00956,0.00021471,0.00021471,0.00021471
90,1113.12,1.1955,1.24015,0.00374,0.8065,0.80952,0.88161,0.54746,1.36774,1.39188,0.00966,0.000198206,0.000198206,0.000198206
91,1125.28,1.18115,1.65496,0.00444,0.80385,0.80952,0.88665,0.55372,1.37032,1.3902,0.0097,0.000181703,0.000181703,0.000181703
92,1138.64,1.15021,1.64628,0.00521,0.94705,0.75397,0.89604,0.55397,1.36785,1.39204,0.00967,0.0001652,0.0001652,0.0001652
93,1152.62,1.08249,1.4945,0.00481,0.94705,0.75397,0.89604,0.55397,1.36785,1.39204,0.00967,0.000148696,0.000148696,0.000148696
94,1169.15,1.08712,1.68234,0.00413,0.94263,0.74237,0.90174,0.55043,1.38923,1.35131,0.00973,0.000132193,0.000132193,0.000132193
95,1184.25,1.04711,1.45369,0.00464,0.94651,0.77284,0.90777,0.55649,1.39731,1.34944,0.00976,0.00011569,0.00011569,0.00011569
96,1196.36,1.17066,1.47321,0.00406,0.98632,0.72111,0.90672,0.5506,1.42715,1.30318,0.01046,9.91865e-05,9.91865e-05,9.91865e-05
97,1209.84,1.05306,1.46643,0.0047,0.98632,0.72111,0.90672,0.5506,1.42715,1.30318,0.01046,8.26832e-05,8.26832e-05,8.26832e-05
98,1224.47,1.05247,1.43393,0.00432,0.9499,0.7499,0.90541,0.54887,1.43034,1.30423,0.01044,6.61799e-05,6.61799e-05,6.61799e-05
99,1237.01,1.07808,1.40792,0.00388,0.93453,0.75397,0.91084,0.54914,1.43319,1.30521,0.0104,4.96766e-05,4.96766e-05,4.96766e-05
100,1248.5,1.17091,1.40075,0.0046,0.8702,0.80578,0.91108,0.5495,1.4358,1.3046,0.01041,3.31733e-05,3.31733e-05,3.31733e-05
